CustomerID,OrderID,Name,Sex,Age,DeliveryAddress
1,101,John Smith,Male,30,123 Main St
2,102,Susan Johnson,Female,28,456 Elm Rd
3,105,Michael Brown,Male,35,789 Oak Ave
4,109,Lisa Davis,Female,25,321 Pine Ln
5,103,David Wilson,Male,40,555 Cedar Dr
6,104,Linda Lee,Female,27,777 Redwood Pkwy
7,107,Robert Martinez,Male,29,888 Maple St
8,108,Mary Taylor,Female,33,999 Birch Rd
9,102,James Jones,Male,22,111 Cherry Ave
10,101,Patricia White,Female,31,222 Walnut Ln
11,106,William Anderson,Male,24,333 Sycamore Rd
12,109,Elizabeth Harris,Female,38,444 Juniper Dr
13,105,Joseph Jackson,Male,26,555 Aspen Ave
14,110,Margaret Thomas,Female,29,666 Willow St
15,103,Charles Miller,Male,34,777 Hemlock Rd
16,107,Dorothy Harris,Female,32,888 Spruce Ave
17,108,Thomas Hall,Male,27,999 Redbud Dr
18,104,Barbara Robinson,Female,36,123 Poplar Rd
19,101,Matthew Turner,Male,23,321 Cedar St
20,102,Sarah Harris,Female,30,456 Birch Ave
21,105,Christopher Lewis,Male,28,789 Willow Rd
22,103,Nancy Moore,Female,39,123 Cedar Dr
23,109,Joseph Hill,Male,26,111 Oak St
24,104,Karen Scott,Female,33,222 Elm Ln
25,107,Daniel Green,Male,31,555 Redwood Ave
26,108,Donna King,Female,25,888 Oak Ln
27,106,Paul Lopez,Male,37,123 Pine Rd
28,109,Ruth Young,Female,29,321 Cherry Ave
29,101,Mark Walker,Male,30,111 Walnut Rd
30,102,Betty Mitchell,Female,24,222 Sycamore Pkwy
31,105,Donald Turner,Male,35,444 Cedar Rd
32,109,Carol Martinez,Female,27,555 Poplar Ln
33,107,George Baker,Male,29,666 Juniper Ave
34,103,Kathleen Johnson,Female,26,111 Willow St
35,104,Edward Hall,Male,33,444 Hemlock Rd
36,108,Shirley Martinez,Female,31,555 Spruce Ln
37,106,Brian Davis,Male,28,123 Poplar Rd
38,102,Deborah White,Female,30,222 Pine Ave
39,101,Ronald Garcia,Male,32,789 Willow Rd
40,105,Brenda Young,Female,25,111 Cedar Rd
41,107,Gary Hernandez,Male,36,444 Redwood Pkwy
42,109,Susan Davis,Female,29,555 Birch Dr
43,104,Timothy Allen,Male,30,123 Elm Ave
44,108,Sandra Martin,Female,28,222 Oak Rd
45,106,Edward Wright,Male,33,333 Willow St
46,103,Karen Scott,Female,27,111 Pine Ln
47,102,Richard Lopez,Male,25,444 Cherry Ln
48,105,Pamela Johnson,Female,32,666 Cedar Rd
49,101,Jeffrey Turner,Male,34,222 Poplar Rd
50,107,Deborah Lewis,Female,31,789 Pine Ave
